Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
WaggaWagga,13.8,30.6,0,4.4,10.8,E,31,ENE,N,7,7,73,27,1025.7,1022,3,1,18.9,29.6,No,No
Watsonia,9.2,15.9,0,3.2,3.1,SSW,37,W,SSW,11,15,72,65,1022.3,1021.9,7,7,13,14.6,No,No
MelbourneAirport,6.9,31.3,0,4.8,11.6,N,52,W,WNW,2,26,82,17,1010.6,1005,1,1,13.7,31,No,Yes
MelbourneAirport,2.6,15.9,0,2.6,7.6,N,44,NW,N,7,31,82,57,1026.5,1021.8,1,7,8.2,14.3,No,No
NorfolkIsland,14.6,20.4,3.4,2.6,9.8,W,50,WSW,WSW,28,31,72,60,1014.1,1013.4,1,1,18.4,19.8,Yes,No
Canberra,13.4,26.1,9.2,7.6,5,WNW,70,SE,N,2,17,78,49,1004.9,1000.8,7,8,18.9,25.6,Yes,Yes
Nuriootpa,12.5,18,1.2,3.8,7.1,W,43,W,SW,22,22,68,45,1015.9,1016.3,7,4,14.8,17,Yes,No
WaggaWagga,3.2,26.9,0,4,11.6,NNW,54,E,NW,13,33,57,7,1018.1,1010.9,3,5,12.4,26.4,No,No
WaggaWagga,17.8,28.9,0,8,12.5,ENE,43,ENE,ENE,24,15,55,31,1023.8,1021.9,0,1,20.7,27.7,No,No
Watsonia,11.1,20.6,0,3.2,7.5,SE,20,S,SSE,2,7,100,52,1028.2,1025.7,3,7,13.1,19.6,No,No
Moree,17,32.8,0,7.8,11.1,NE,33,E,ENE,4,15,57,28,1019,1015.7,2,8,23.4,31.8,No,No
CoffsHarbour,3.5,16.6,0,1.8,0.5,SW,15,W,W,4,9,88,73,1020,1017.9,7,8,9.3,13.7,No,Yes
Perth,12.8,27.5,0,6,11.4,SE,39,SE,SE,15,13,60,37,1018.1,1014.9,2,1,18.4,27.1,No,No
MelbourneAirport,14.9,18.8,0,7.4,0.3,N,61,N,N,31,30,58,58,1025.2,1022.5,8,7,15.9,18.3,No,No
NorfolkIsland,14.6,19,0,6,9.1,SW,54,SW,SSW,30,31,69,58,1021.9,1020.2,3,5,17,17.8,No,No
MountGambier,8.1,15.9,0.8,1.2,3.1,SW,35,WNW,SSW,9,22,92,88,1033.3,1031.7,3,7,12.5,14.7,No,Yes
Watsonia,9.1,13.3,0,0.6,0.8,SSW,24,S,SSW,13,13,66,68,1032.6,1030.6,7,7,10.8,12.2,No,No
Cairns,23.2,30.5,0,5,8.1,SE,46,SSE,SE,20,26,80,65,1014.6,1012.6,3,3,26.7,29.1,No,No
WaggaWagga,21.7,26.8,1.4,10,0.8,S,33,W,NW,4,7,79,73,1008.6,1008.4,7,8,24.5,25.1,Yes,Yes
MelbourneAirport,11.1,20.4,0,2.6,5.7,SW,24,SSW,WSW,13,7,75,60,1021,1018.7,8,1,13.2,18.2,No,No
Hobart,11.4,17.4,0,5,10.7,NNW,59,E,NNW,15,24,49,46,1016.7,1017.4,1,4,15.8,17,No,No
PerthAirport,9.6,26.4,0.4,6.6,12.2,SW,50,SSE,S,15,28,44,30,1014.8,1011.9,2,2,20.4,25.9,No,No
SydneyAirport,18.3,23.9,0,7.2,7.5,SE,30,SSE,ESE,15,22,55,50,1019.7,1018.5,2,5,21.3,23.2,No,No
Townsville,18,28.7,0,7.2,10.6,ENE,33,N,ENE,2,28,61,54,1016.2,1011.8,3,3,25.6,27.9,No,No
MountGambier,8.4,14.8,0.2,1.4,5,SW,24,SW,S,9,17,83,87,1034.9,1034.1,7,7,11.2,13.3,No,No
AliceSprings,16.4,30.7,1.4,5.4,11.8,S,31,W,SSW,11,15,65,23,1008.6,1006.1,0,1,22.9,29.9,Yes,No
Darwin,23,33.5,0,7.8,10.1,NNE,41,SE,NNW,9,24,67,46,1015.6,1011.9,4,3,27.6,30.5,No,No
Sale,13.8,15.3,18.8,3.2,0.7,SSW,26,S,S,17,13,87,92,1012.7,1013,8,8,13.9,13.3,Yes,No
AliceSprings,10.1,20.3,0,8,7.9,ESE,39,ESE,ESE,24,19,29,20,1024.3,1020.4,4,5,13.6,20.1,No,No
Woomera,15.4,31.9,0,13.4,12.9,SSE,44,SE,SSW,19,19,59,16,1020,1017.9,0,0,19.2,30.1,No,No
Mildura,11.9,32.8,0,9,13.1,ESE,33,E,ENE,13,13,39,10,1019.8,1015.9,0,1,19.9,31.5,No,No
Townsville,23.2,28.7,9.2,6.2,3.6,NE,33,ESE,ENE,9,20,73,70,1008.7,1005.6,7,7,26.5,28.2,Yes,Yes
Sale,4.2,21.5,0,2.8,9.4,NNW,48,NE,NNW,11,24,54,29,1016.7,1012,1,0,13.3,20.3,No,No
Watsonia,10.6,13.5,0,4,3,N,69,NNE,NNE,19,24,78,71,1024.7,1021.5,7,7,11.7,12.7,No,No
Woomera,21.5,29.3,0,15.6,6.3,SW,48,S,SW,22,26,52,41,1009.9,1009.2,3,2,24.2,28.4,No,No
Nuriootpa,9,16.7,11.2,1.8,5.1,NW,63,W,W,31,33,97,63,1013.1,1013.1,8,6,13.7,16.2,Yes,Yes
SydneyAirport,17.3,23.6,4.8,4.2,6.2,ENE,39,E,E,26,30,73,55,1030.6,1029.9,7,7,20.2,22.8,Yes,No
SydneyAirport,12.5,25.9,0,3.8,11,E,33,WNW,E,15,28,60,49,1031.9,1027.8,0,1,18.7,23.7,No,No
Mildura,20,43.7,0,8.8,12.8,N,39,NNE,NNW,17,20,24,8,1010.7,1007.9,0,2,29,42.4,No,No
AliceSprings,12.6,20.3,0,7.6,1.1,SSW,41,SW,SSW,4,13,42,61,1022.3,1020.3,7,7,15.8,17.7,No,No
SydneyAirport,14.8,19.4,6,2.8,3.4,S,54,SSW,SSW,28,22,70,59,1022.1,1021.7,7,7,16.6,18.4,Yes,No
PerthAirport,7.7,15.3,4.8,0.6,9.5,SSW,46,S,S,19,19,79,38,1026.6,1024.7,1,3,10.2,15.1,Yes,No
MelbourneAirport,4.7,16.5,0,3,7.7,S,31,N,S,13,17,83,56,1020.4,1018.8,7,6,10.2,15.3,No,No
AliceSprings,4,25.9,0,6,11.3,SE,28,ENE,ESE,11,13,22,14,1022.7,1018.1,0,0,15.3,25,No,No
Watsonia,16.4,26.5,0,6.6,11.9,WSW,35,SE,WSW,9,19,64,51,1021.7,1018,5,0,19.3,25.3,No,No
Townsville,10.1,22,0,7.4,11,E,35,SSE,NE,7,22,44,42,1021.7,1018.3,2,1,17.8,20.7,No,No
Sydney,15.3,23.7,0,2.8,10.7,NE,35,WNW,NE,15,19,78,54,1028.1,1023.7,1,2,17.8,23,No,No
Cairns,19,27.3,6.4,6,8.1,SE,70,SE,SE,43,37,55,43,1021.1,1019.1,2,3,24.3,26,Yes,Yes
Canberra,8.4,16.1,0,3,4.9,SE,35,SE,ESE,13,22,69,51,1029.5,1027.4,6,7,13.6,15.2,No,No
Perth,12.6,22.3,2.2,6.2,12.7,WSW,35,SW,SW,13,17,52,39,1023.2,1022.5,3,1,19.2,21.2,Yes,No
CoffsHarbour,6.6,19.3,0,2.8,10.5,WSW,26,SW,E,17,15,68,52,1027.8,1023.9,1,1,16.8,19.1,No,No
Cairns,17.9,26.5,0.6,7.6,5.7,SE,41,SSE,ESE,17,22,83,57,1020,1017.2,6,7,20.6,24.1,No,No
Hobart,8.6,18.7,2.6,8.2,10.8,NW,59,NW,NW,30,30,57,33,998,998.4,3,7,12.8,18.3,Yes,No
Nuriootpa,11.4,19.2,0,4,2,SE,39,ESE,SE,9,20,70,44,1021.8,1020.3,7,6,12,17.7,No,No
CoffsHarbour,17.1,24.2,0.4,2.4,8.2,SSW,76,SSW,S,26,28,73,69,1014.1,1012.7,3,7,21.5,20.8,No,No
Watsonia,11.8,16.3,8,7.4,3.7,WNW,50,SSW,SSW,19,20,99,62,1017.8,1019.8,8,7,11.8,14.9,Yes,Yes
WaggaWagga,9.8,30,0,6,11.1,ENE,26,ENE,W,15,9,54,17,1020.2,1016,1,5,18.2,29.8,No,No
MountGambier,11.7,23.9,0,6.4,12.7,SE,56,SE,SE,37,33,47,29,1023.7,1022,1,1,17.3,22.5,No,No
Townsville,22.3,31,0,9.4,11.6,ENE,39,ESE,ENE,11,28,67,58,1011.9,1009.5,1,2,28,30.1,No,No
Cairns,22.8,31.6,5.8,3,8.9,SE,37,S,SE,15,26,69,52,1011.6,1008.2,7,3,27.1,30.6,Yes,Yes
MountGambier,7.1,13.4,0.2,2.4,5.7,SSW,48,SSE,S,13,30,69,64,1031.1,1030.1,8,7,10.1,12.1,No,No
Brisbane,23.3,31.1,0.2,4.8,10.6,ENE,30,NE,NE,11,13,59,56,1014.6,1010,5,3,29,30,No,No
NorfolkIsland,16,20,1.6,5,8,SSW,54,SSW,WSW,26,9,51,82,1019.2,1019.5,3,5,18.2,16.1,Yes,No
Perth,19.5,23.8,4.6,5,5.6,SW,44,NNW,SW,7,20,93,51,1007.2,1009.5,7,5,21.1,22.6,Yes,No
Brisbane,7.8,22,0,2,9.8,NW,17,SW,NW,7,7,70,46,1021.7,1017.2,1,1,13.1,21.9,No,No
Melbourne,15.3,25.6,0,4.6,10.1,SSE,37,SE,E,17,9,60,46,1015.8,1011.9,7,1,17,23.8,No,No
SydneyAirport,6.1,15.7,0,3.8,9.5,SW,50,WNW,S,19,24,58,59,1029.7,1029,1,1,10.5,15.2,No,No
WaggaWagga,5.6,13.9,16.6,1.6,5.1,WSW,54,W,SW,17,37,96,58,1006.4,1008.5,8,2,7.7,13.5,Yes,No
PerthAirport,18.3,24.1,0,5.6,7.5,W,48,WSW,WSW,13,28,54,59,1017.6,1016.9,7,6,21.1,21.9,No,No
Cairns,21.2,29.9,13.4,6,8.6,SSE,57,SSE,ESE,33,33,69,39,1020.4,1017,7,2,23.1,27.8,Yes,Yes
Brisbane,8.8,25.4,0,11.8,12.1,NNE,24,SW,NNE,6,7,37,26,1022.3,1017.6,0,1,19.8,23.5,No,No
Sydney,9.7,19.1,0,3.2,9.5,W,41,W,S,24,15,59,50,1014.4,1011.6,2,4,11.8,16.6,No,No
MountGambier,5.5,15.9,0.2,1.2,3,N,35,NE,NNE,15,17,87,59,1023.4,1018.8,7,8,9.8,13.4,No,Yes
Mildura,2.8,18.3,0,0.4,7.7,W,17,WNW,NNW,2,11,99,58,1031,1028.4,0,3,7.7,17.6,No,No
Mildura,12.4,24.6,0.4,2.4,8.7,WNW,28,NNW,W,7,11,84,46,1022.9,1020.6,4,1,17,24,No,No
NorfolkIsland,16.8,23.2,0,7.4,13.1,S,30,S,SSE,15,19,48,45,1019.8,1018.4,2,1,21.3,22.6,No,No
SydneyAirport,17,25.6,0,5,12.1,NE,44,NE,ENE,13,30,41,39,1022.5,1019.4,4,5,22,25,No,No
Melbourne,6.3,16.9,0,2,4.2,SE,24,NNE,S,6,9,100,74,1021.6,1019,7,2,7.9,15.4,No,No
Sydney,19.1,26.8,0,8,8.4,NNE,44,ENE,NE,11,26,64,63,1014.2,1011.2,2,4,23.8,24.6,No,Yes
Darwin,25.2,33.5,0.6,4.4,8.2,WSW,33,ESE,WSW,11,20,79,52,1011.7,1007.8,7,6,28,32.7,No,Yes
WaggaWagga,5.5,11.6,4.4,0.4,1.6,WSW,30,WSW,WSW,17,17,88,80,1028.1,1028.5,8,7,9,11,Yes,No
Sydney,22.4,28.1,0,8.8,10.8,ENE,33,NE,ENE,7,20,61,57,1023.4,1022.6,1,3,26.2,27,No,No
Canberra,19.9,22,11,4.4,5.9,NNW,76,N,WNW,41,30,92,62,996.5,996.8,8,3,20.6,19.6,Yes,Yes
Nuriootpa,7.5,17,0,1.6,6.6,WNW,72,NNW,WNW,15,41,73,56,1006.4,1002.2,4,6,12.4,14.3,No,Yes
AliceSprings,17.7,36.9,0,14.4,12.1,E,46,NNE,E,26,24,14,7,1017.9,1014.4,0,1,31.8,35.8,No,No
WaggaWagga,0.4,14.6,0,1.2,9,ENE,24,ENE,ENE,9,13,79,49,1028.3,1026.5,1,1,6.5,14.3,No,No
Mildura,3.5,17.9,0,3.8,5.1,W,43,SW,WSW,15,22,65,40,1025.8,1021.4,8,7,10.5,15.9,No,No
SydneyAirport,15.7,24,0,3,8.5,ENE,44,NNE,NE,28,31,65,62,1020.1,1015.3,7,1,20.4,22.8,No,No
WaggaWagga,12.3,24.1,0,6.4,6.5,WSW,37,W,SW,9,22,57,33,1017,1014.5,5,7,15.6,22.6,No,No
Perth,15.7,27.2,0,5.6,10.9,E,44,E,WSW,11,11,64,54,1012.3,1008.6,1,1,21.2,25.8,No,Yes
Perth,14,15.7,14.8,0.6,0,SSW,48,NE,S,9,19,96,93,1011,1009.6,8,8,14.2,13.2,Yes,Yes
Canberra,5.1,23.3,0,3.6,10.3,NW,44,N,NW,9,28,54,30,1016.4,1011.7,1,1,16.4,22.4,No,No
NorfolkIsland,13.8,19.9,0,4.8,7.6,NNE,54,NNE,NNE,24,28,72,83,1015.2,1010.6,7,7,18.6,18.4,No,Yes
Mildura,15.8,34.6,0,12,13.5,SE,39,ESE,SE,15,20,34,10,1016.4,1013.8,1,1,21.8,33.7,No,No
PerthAirport,9.1,21.2,0,5,11.9,ESE,37,E,WSW,26,20,45,34,1024.9,1021.5,1,1,14.7,20.5,No,No
Moree,2.8,19,0,2,3.2,E,33,ESE,ENE,9,15,66,36,1029.7,1027.2,7,6,8.2,17.7,No,Yes
Watsonia,9.9,23,0,6.4,10.1,SW,35,ESE,SW,9,17,81,50,1024.3,1020,8,2,12.5,21.2,No,No
Moree,10.6,23.8,0,4,8.2,NE,39,E,E,17,15,62,32,1030.5,1026.5,5,1,16.2,23.4,No,No
Darwin,23.2,31.7,16.8,4.8,6.3,SSW,63,W,W,13,33,86,69,1003.7,1000.4,7,7,25.1,31.1,Yes,Yes
MelbourneAirport,7.7,14.5,0,1.4,4.8,NNE,74,N,N,30,28,85,69,1022.1,1018.3,4,7,11.5,14.2,No,No
SydneyAirport,19.4,23.9,0.4,6.2,1.8,E,41,ESE,E,22,30,61,69,1023.9,1022.8,5,7,22.8,22.3,No,No
Williamtown,19.3,25.4,0,8,3.9,S,41,SSW,S,22,31,69,63,1015.4,1015,5,3,22.6,24.7,No,No
Darwin,16.4,28.7,0,6,10.8,ESE,48,SE,ESE,24,24,35,17,1016.5,1013.8,2,2,20.4,28,No,No
Perth,9,24,0,6.6,9.3,SW,31,ENE,SSW,7,15,56,41,1019.1,1015.5,6,6,17.8,23.2,No,No
Mildura,7,15.5,0,2.6,6.5,SSW,30,SSW,SSW,11,11,87,40,1024.6,1023.3,7,2,10,14.4,No,No
MountGambier,5.9,21.8,0,5.8,11.9,SSW,54,SSW,SSW,11,28,50,32,1020.8,1019.6,6,6,16.7,20.8,No,No
Brisbane,13.9,21.6,15.2,3.2,6.6,ESE,44,SW,ESE,4,11,88,74,1026.9,1024.2,3,5,17,20,Yes,Yes
WaggaWagga,9,25.4,0,4.8,11.2,SW,39,W,WSW,4,17,76,32,1015.1,1013,0,1,13.2,23.9,No,No
Townsville,25.7,30.2,25,6.6,4.5,ESE,46,SE,E,13,30,77,82,1014.2,1010.9,7,7,28.2,29,Yes,Yes
Cairns,15.8,26.9,0,4.8,8.9,SE,37,S,SE,15,26,65,56,1020.5,1018.1,6,6,22.3,25,No,No
NorfolkIsland,20.3,25.5,5.2,6.2,11.6,E,54,E,E,28,31,76,71,1015.3,1015.2,4,5,23.2,24.5,Yes,No
Townsville,23.5,31.5,40.6,4.6,9.5,NNW,28,W,NNW,4,13,77,66,1004.8,1001.9,6,4,27.4,31.2,Yes,No
Watsonia,8.7,20.4,6.6,0.8,10.3,W,37,NW,NW,11,13,75,43,1015.8,1014.5,3,4,11.9,18.5,Yes,No
Hobart,4.9,16.8,0,3.2,10,SE,30,NNW,E,13,17,56,44,1010.7,1007.3,7,6,11.7,14.8,No,No
Perth,16.2,23.7,12.2,3.2,2.5,NNW,65,N,W,17,22,90,86,999.3,998.9,6,8,19.6,15.1,Yes,Yes
SydneyAirport,8.5,17.1,0,2,9.6,WNW,44,W,W,19,17,54,28,1022,1021.2,1,1,12,16,No,No
MelbourneAirport,3.6,13.5,0,1.4,0.2,N,22,N,ENE,11,4,77,56,1029.5,1026.7,7,7,7.5,12.9,No,No
MelbourneAirport,9.4,14.8,0,2.6,9.2,WSW,87,WNW,WSW,30,48,58,39,1000.5,1004.9,4,3,13.7,12.7,No,No
Perth,26,39.8,0,13.8,10.8,NE,48,NE,ENE,24,15,31,17,1013.4,1008.6,7,7,31,39.3,No,No
Melbourne,15.3,23.1,0,7,10.2,S,43,NNE,S,11,31,64,51,1012.9,1013,7,6,18.3,21.3,No,Yes
WaggaWagga,4.4,11.6,12.8,2.8,4,SW,30,WNW,W,9,20,85,72,1019.7,1020.4,7,7,6.7,11,Yes,No
Moree,22.6,31.3,19,8.2,6.6,N,57,NNE,N,26,9,66,82,1013.9,1011.2,7,7,26.7,25.7,Yes,Yes
SydneyAirport,15.1,20.9,3.4,4.4,2.5,SW,22,SW,S,11,13,79,65,1021.4,1019.1,5,6,18.9,20.5,Yes,Yes
Darwin,24,33.4,9,7,10.5,SW,41,NW,NW,11,15,69,73,1009.5,1008.1,2,6,30.6,29.8,Yes,No
AliceSprings,17.3,26,0,5.8,0.1,NNW,59,NNW,WNW,33,22,48,93,1011.6,1008.1,7,8,21.3,20.1,No,Yes
Perth,8.7,27.6,0,5,10,WSW,22,ENE,WSW,6,13,46,28,1024.1,1020.7,0,0,18.1,26,No,No
Sale,9.8,20.4,0,7.6,6.3,E,31,SW,ENE,19,13,56,43,1020,1019.1,8,3,15.4,19.9,No,No
MountGambier,1.3,12.6,0.2,0.6,9.1,N,33,NNE,N,13,15,93,58,1030.6,1028.8,0,5,4.6,11.7,No,No
