Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Williamtown,14.4,25.3,0.0,5.8,5.4,S,33,NW,SSW,13,19,76,57,1015.6,1015.1,5,5,19.1,24.4,No,No
AliceSprings,22.9,42.2,0.0,15.0,11.2,SE,56,N,SSW,28,13,8,6,1011.9,1008.1,0,5,36.5,39.8,No,No
Brisbane,20.1,32.0,0.0,8.8,12.0,E,24,ESE,ENE,7,11,57,46,1017.9,1014.5,2,1,26.0,29.6,No,No
SydneyAirport,16.2,23.5,0.8,4.2,8.3,SE,35,SSE,SE,15,19,75,62,1027.3,1026.3,6,2,20.2,22.1,No,No
MelbourneAirport,2.6,15.9,0.0,2.6,7.6,N,44,NW,N,7,31,82,57,1026.5,1021.8,1,7,8.2,14.3,No,No
NorfolkIsland,14.6,20.4,3.4,2.6,9.8,W,50,WSW,WSW,28,31,72,60,1014.1,1013.4,1,1,18.4,19.8,Yes,No
CoffsHarbour,22.0,32.5,0.0,5.2,11.5,NE,35,SE,NE,7,22,63,68,1008.5,1005.8,1,1,28.6,31.2,No,Yes
Canberra,13.4,26.1,9.2,7.6,5.0,WNW,70,SE,N,2,17,78,49,1004.9,1000.8,7,8,18.9,25.6,Yes,Yes
WaggaWagga,3.2,26.9,0.0,4.0,11.6,NNW,54,E,NW,13,33,57,7,1018.1,1010.9,3,5,12.4,26.4,No,No
Brisbane,24.1,31.0,0.2,6.7,8.7,WNW,57,NNE,NE,7,15,58,64,1013.6,1009.1,3,6,29.7,29.0,No,Yes
Watsonia,11.1,20.6,0.0,3.2,7.5,SE,20,S,SSE,2,7,100,52,1028.2,1025.7,3,7,13.1,19.6,No,No
Perth,12.8,27.5,0.0,6.0,11.4,SE,39,SE,SE,15,13,60,37,1018.1,1014.9,2,1,18.4,27.1,No,No
Mildura,7.2,20.9,0.0,4.0,3.5,NNE,54,NNE,N,24,31,62,33,1020.0,1014.8,5,7,11.3,20.3,No,Yes
MelbourneAirport,14.9,18.8,0.0,7.4,0.3,N,61,N,N,31,30,58,58,1025.2,1022.5,8,7,15.9,18.3,No,No
WaggaWagga,5.1,15.3,0.0,1.2,8.6,W,24,W,WSW,9,13,73,46,1023.8,1021.8,3,3,11.4,14.5,No,No
NorfolkIsland,14.6,19.0,0.0,6.0,9.1,SW,54,SW,SSW,30,31,69,58,1021.9,1020.2,3,5,17.0,17.8,No,No
SydneyAirport,19.8,29.3,0.0,8.6,10.9,SW,76,WNW,WSW,20,44,27,16,1004.3,1002.0,6,2,23.5,27.0,No,No
MountGambier,8.1,15.9,0.8,1.2,3.1,SW,35,WNW,SSW,9,22,92,88,1033.3,1031.7,3,7,12.5,14.7,No,Yes
Melbourne,18.0,21.7,0.0,5.4,1.9,NNE,76,N,N,52,37,50,49,1019.1,1015.4,7,7,18.3,20.8,No,Yes
Watsonia,9.1,13.3,0.0,0.6,0.8,SSW,24,S,SSW,13,13,66,68,1032.6,1030.6,7,7,10.8,12.2,No,No
Woomera,9.0,17.1,1.6,6.6,5.7,WSW,57,W,SSW,41,37,79,47,1016.0,1018.7,7,5,10.2,16.2,Yes,No
AliceSprings,18.8,39.5,0.0,11.8,11.9,NNW,33,ENE,N,19,13,21,13,1014.0,1010.2,5,5,31.3,37.4,No,No
WaggaWagga,21.7,26.8,1.4,10.0,0.8,S,33,W,NW,4,7,79,73,1008.6,1008.4,7,8,24.5,25.1,Yes,Yes
SydneyAirport,18.3,23.9,0.0,7.2,7.5,SE,30,SSE,ESE,15,22,55,50,1019.7,1018.5,2,5,21.3,23.2,No,No
Townsville,18.0,28.7,0.0,7.2,10.6,ENE,33,N,ENE,2,28,61,54,1016.2,1011.8,3,3,25.6,27.9,No,No
Sale,6.5,14.7,9.8,2.2,3.5,W,44,W,SW,19,26,88,66,1010.1,1012.8,8,8,10.1,13.0,Yes,No
Melbourne,7.2,14.5,0.0,0.8,4.7,S,19,SW,SSW,7,7,88,66,1023.8,1023.5,7,5,9.4,13.4,No,No
Darwin,23.0,33.5,0.0,7.8,10.1,NNE,41,SE,NNW,9,24,67,46,1015.6,1011.9,4,3,27.6,30.5,No,No
Sale,13.8,15.3,18.8,3.2,0.7,SSW,26,S,S,17,13,87,92,1012.7,1013.0,8,8,13.9,13.3,Yes,No
MelbourneAirport,5.9,14.0,1.6,3.0,2.7,WNW,50,NNW,NNW,13,7,65,68,1011.8,1010.8,5,7,10.2,11.9,Yes,Yes
Portland,10.3,17.8,0.4,1.0,12.3,SW,33,SSW,SSW,15,19,69,55,1009.9,1010.2,7,4,15.0,16.2,No,No
Townsville,13.8,27.0,0.0,7.6,8.2,ESE,48,S,E,7,33,46,49,1022.2,1019.0,3,6,21.1,26.1,No,No
Darwin,24.7,33.1,0.2,6.8,6.6,N,30,E,NE,13,11,82,62,1009.9,1006.5,7,7,27.6,31.7,No,Yes
Mildura,11.9,32.8,0.0,9.0,13.1,ESE,33,E,ENE,13,13,39,10,1019.8,1015.9,0,1,19.9,31.5,No,No
Townsville,23.2,28.7,9.2,6.2,3.6,NE,33,ESE,ENE,9,20,73,70,1008.7,1005.6,7,7,26.5,28.2,Yes,Yes
WaggaWagga,14.2,32.4,0.0,8.0,11.4,W,37,ESE,WNW,13,20,60,20,1016.0,1012.7,1,2,21.3,30.2,No,No
Woomera,21.5,29.3,0.0,15.6,6.3,SW,48,S,SW,22,26,52,41,1009.9,1009.2,3,2,24.2,28.4,No,No
Nuriootpa,9.0,16.7,11.2,1.8,5.1,NW,63,W,W,31,33,97,63,1013.1,1013.1,8,6,13.7,16.2,Yes,Yes
Watsonia,13.9,32.6,0.0,7.6,12.0,SSW,33,ENE,ESE,6,9,73,28,1021.1,1017.5,1,1,19.7,31.5,No,No
Mildura,19.1,30.7,0.0,2.8,8.7,SE,20,ESE,S,9,11,100,58,1012.8,1011.9,8,5,20.4,28.6,No,No
MelbourneAirport,12.3,17.3,1.4,8.8,0.9,N,72,N,NNW,31,9,79,70,1015.7,1014.5,7,7,12.8,17.0,Yes,Yes
SydneyAirport,14.8,19.4,6.0,2.8,3.4,S,54,SSW,SSW,28,22,70,59,1022.1,1021.7,7,7,16.6,18.4,Yes,No
PerthAirport,7.7,15.3,4.8,0.6,9.5,SSW,46,S,S,19,19,79,38,1026.6,1024.7,1,3,10.2,15.1,Yes,No
Perth,16.0,33.5,0.0,8.6,11.9,SW,39,ESE,SW,9,15,51,43,1019.1,1017.1,5,5,25.2,29.8,No,No
AliceSprings,4.0,25.9,0.0,6.0,11.3,SE,28,ENE,ESE,11,13,22,14,1022.7,1018.1,0,0,15.3,25.0,No,No
Watsonia,16.4,26.5,0.0,6.6,11.9,WSW,35,SE,WSW,9,19,64,51,1021.7,1018.0,5,0,19.3,25.3,No,No
Townsville,10.1,22.0,0.0,7.4,11.0,E,35,SSE,NE,7,22,44,42,1021.7,1018.3,2,1,17.8,20.7,No,No
Woomera,26.5,40.0,0.6,14.2,8.5,NNE,52,N,ENE,19,20,31,27,1011.0,1008.1,2,2,32.7,37.4,No,No
Canberra,8.4,16.1,0.0,3.0,4.9,SE,35,SE,ESE,13,22,69,51,1029.5,1027.4,6,7,13.6,15.2,No,No
MountGambier,9.0,14.7,1.0,0.6,1.7,NNW,37,NNW,NNW,19,20,92,96,1025.0,1024.5,3,7,13.1,13.3,No,Yes
Cairns,17.9,26.5,0.6,7.6,5.7,SE,41,SSE,ESE,17,22,83,57,1020.0,1017.2,6,7,20.6,24.1,No,No
NorfolkIsland,17.2,21.4,11.0,1.2,5.2,SSE,41,WNW,S,11,20,89,83,1011.7,1010.7,7,5,19.9,19.2,Yes,Yes
