Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
WaggaWagga,13.8,30.6,0,4.4,10.8,E,31,ENE,N,7,7,73,27,1025.7,1022,3,1,18.9,29.6,No,No
Townsville,23.9,31.6,0,9.4,9.1,N,41,N,N,19,26,61,56,1010.4,1006.2,7,3,29.2,29.8,No,No
Darwin,22.8,33.6,32.2,4.6,7.5,NNE,43,SE,ESE,15,7,68,52,1008.2,1004.9,7,7,28.5,33.2,Yes,No
Watsonia,9.2,15.9,0,3.2,3.1,SSW,37,W,SSW,11,15,72,65,1022.3,1021.9,7,7,13,14.6,No,No
MelbourneAirport,6.9,31.3,0,4.8,11.6,N,52,W,WNW,2,26,82,17,1010.6,1005,1,1,13.7,31,No,Yes
MelbourneAirport,2.6,15.9,0,2.6,7.6,N,44,NW,N,7,31,82,57,1026.5,1021.8,1,7,8.2,14.3,No,No
CoffsHarbour,22,32.5,0,5.2,11.5,NE,35,SE,NE,7,22,63,68,1008.5,1005.8,1,1,28.6,31.2,No,Yes
Townsville,23.1,29.1,78.4,3.2,0,NNE,81,E,NE,35,39,84,93,1004.1,999.8,8,8,26.6,26.5,Yes,Yes
Canberra,13.4,26.1,9.2,7.6,5,WNW,70,SE,N,2,17,78,49,1004.9,1000.8,7,8,18.9,25.6,Yes,Yes
Nuriootpa,12.5,18,1.2,3.8,7.1,W,43,W,SW,22,22,68,45,1015.9,1016.3,7,4,14.8,17,Yes,No
Watsonia,15.8,24.8,15.6,5.2,4.1,NW,31,SW,NNW,2,17,100,48,1010.3,1008.4,7,7,18.1,23.9,Yes,No
Brisbane,12,21.1,0,2.4,4.9,SSW,22,WSW,SSE,9,9,70,60,1022.3,1020.2,2,7,16.2,19.4,No,No
