Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Williamtown,14.4,25.3,0,5.8,5.4,S,33,NW,SSW,13,19,76,57,1015.6,1015.1,5,5,19.1,24.4,No,No
AliceSprings,22.9,42.2,0,15,11.2,SE,56,N,SSW,28,13,8,6,1011.9,1008.1,0,5,36.5,39.8,No,No
Perth,13.5,17.3,19.4,3.2,5.4,W,52,W,W,17,20,76,53,1015.4,1016,7,5,13.8,15.2,Yes,Yes
Darwin,21.9,31.9,0,7.8,10,SE,44,SE,E,28,30,26,27,1015.5,1011.9,5,3,23,31.1,No,No
MelbourneAirport,2.6,15.9,0,2.6,7.6,N,44,NW,N,7,31,82,57,1026.5,1021.8,1,7,8.2,14.3,No,No
Sale,7.5,15.5,10.2,2.2,8.2,WNW,94,NW,WNW,52,65,46,44,993.9,993.3,3,6,11.6,13.2,Yes,Yes
CoffsHarbour,22,32.5,0,5.2,11.5,NE,35,SE,NE,7,22,63,68,1008.5,1005.8,1,1,28.6,31.2,No,Yes
Canberra,13.4,26.1,9.2,7.6,5,WNW,70,SE,N,2,17,78,49,1004.9,1000.8,7,8,18.9,25.6,Yes,Yes
Nuriootpa,12.5,18,1.2,3.8,7.1,W,43,W,SW,22,22,68,45,1015.9,1016.3,7,4,14.8,17,Yes,No
WaggaWagga,17.8,28.9,0,8,12.5,ENE,43,ENE,ENE,24,15,55,31,1023.8,1021.9,0,1,20.7,27.7,No,No
Brisbane,24.1,31,0.2,6.7,8.7,WNW,57,NNE,NE,7,15,58,64,1013.6,1009.1,3,6,29.7,29,No,Yes
Moree,17,32.8,0,7.8,11.1,NE,33,E,ENE,4,15,57,28,1019,1015.7,2,8,23.4,31.8,No,No
Brisbane,12,21.1,0,2.4,4.9,SSW,22,WSW,SSE,9,9,70,60,1022.3,1020.2,2,7,16.2,19.4,No,No
CoffsHarbour,3.5,16.6,0,1.8,0.5,SW,15,W,W,4,9,88,73,1020,1017.9,7,8,9.3,13.7,No,Yes
WaggaWagga,5.1,15.3,0,1.2,8.6,W,24,W,WSW,9,13,73,46,1023.8,1021.8,3,3,11.4,14.5,No,No
Cairns,19.8,28.8,0,4.4,7.4,SE,41,S,SE,17,31,65,61,1017.2,1015.4,2,5,24.4,25.6,No,No
MountGambier,8.1,15.9,0.8,1.2,3.1,SW,35,WNW,SSW,9,22,92,88,1033.3,1031.7,3,7,12.5,14.7,No,Yes
Sydney,18.1,26,0,4.8,10.9,E,26,WNW,E,11,20,91,67,1017.9,1014.6,2,1,18.9,24.7,No,No
Melbourne,18,21.7,0,5.4,1.9,NNE,76,N,N,52,37,50,49,1019.1,1015.4,7,7,18.3,20.8,No,Yes
SydneyAirport,13.8,24.2,0,8.6,10.6,WSW,50,W,SE,26,19,37,30,1014.9,1011.9,1,2,17.1,21.8,No,No
Hobart,11.4,17.4,0,5,10.7,NNW,59,E,NNW,15,24,49,46,1016.7,1017.4,1,4,15.8,17,No,No
SydneyAirport,18.3,23.9,0,7.2,7.5,SE,30,SSE,ESE,15,22,55,50,1019.7,1018.5,2,5,21.3,23.2,No,No
AliceSprings,16.4,30.7,1.4,5.4,11.8,S,31,W,SSW,11,15,65,23,1008.6,1006.1,0,1,22.9,29.9,Yes,No
Mildura,4.6,23.4,0,5.6,10.7,W,24,WNW,NW,9,9,58,31,1023.8,1019.7,0,0,14.7,23,No,No
AliceSprings,10.1,20.3,0,8,7.9,ESE,39,ESE,ESE,24,19,29,20,1024.3,1020.4,4,5,13.6,20.1,No,No
MelbourneAirport,5.9,14,1.6,3,2.7,WNW,50,NNW,NNW,13,7,65,68,1011.8,1010.8,5,7,10.2,11.9,Yes,Yes
Portland,10.3,17.8,0.4,1,12.3,SW,33,SSW,SSW,15,19,69,55,1009.9,1010.2,7,4,15,16.2,No,No
Townsville,13.8,27,0,7.6,8.2,ESE,48,S,E,7,33,46,49,1022.2,1019,3,6,21.1,26.1,No,No
Darwin,24.7,33.1,0.2,6.8,6.6,N,30,E,NE,13,11,82,62,1009.9,1006.5,7,7,27.6,31.7,No,Yes
Mildura,11.9,32.8,0,9,13.1,ESE,33,E,ENE,13,13,39,10,1019.8,1015.9,0,1,19.9,31.5,No,No
Mildura,10.7,15.1,5,4.2,1.7,WNW,44,S,SSE,2,7,100,94,1015.8,1011,8,8,12,14.3,Yes,Yes
Sale,4.2,21.5,0,2.8,9.4,NNW,48,NE,NNW,11,24,54,29,1016.7,1012,1,0,13.3,20.3,No,No
Watsonia,10.6,13.5,0,4,3,N,69,NNE,NNE,19,24,78,71,1024.7,1021.5,7,7,11.7,12.7,No,No
Woomera,21.5,29.3,0,15.6,6.3,SW,48,S,SW,22,26,52,41,1009.9,1009.2,3,2,24.2,28.4,No,No
Nuriootpa,9,16.7,11.2,1.8,5.1,NW,63,W,W,31,33,97,63,1013.1,1013.1,8,6,13.7,16.2,Yes,Yes
Mildura,20,43.7,0,8.8,12.8,N,39,NNE,NNW,17,20,24,8,1010.7,1007.9,0,2,29,42.4,No,No
Cobar,20.3,36,18,8.2,10.5,WSW,94,NNE,NW,13,7,89,50,1008.6,1006.7,7,4,24.7,33.4,Yes,Yes
MelbourneAirport,12.3,17.3,1.4,8.8,0.9,N,72,N,NNW,31,9,79,70,1015.7,1014.5,7,7,12.8,17,Yes,Yes
SydneyAirport,14.8,19.4,6,2.8,3.4,S,54,SSW,SSW,28,22,70,59,1022.1,1021.7,7,7,16.6,18.4,Yes,No
Sydney,6.1,18.4,0,3.2,8.8,W,35,W,SSW,22,11,64,56,1023.2,1020.7,1,6,8.8,15.6,No,No
WaggaWagga,19.8,35.7,0,11,12.7,NE,43,ENE,WNW,22,20,53,22,1015.9,1011.7,1,3,24.2,34.2,No,No
Sydney,15.3,23.7,0,2.8,10.7,NE,35,WNW,NE,15,19,78,54,1028.1,1023.7,1,2,17.8,23,No,No
Canberra,8.4,16.1,0,3,4.9,SE,35,SE,ESE,13,22,69,51,1029.5,1027.4,6,7,13.6,15.2,No,No
Perth,12.6,22.3,2.2,6.2,12.7,WSW,35,SW,SW,13,17,52,39,1023.2,1022.5,3,1,19.2,21.2,Yes,No
CoffsHarbour,6.6,19.3,0,2.8,10.5,WSW,26,SW,E,17,15,68,52,1027.8,1023.9,1,1,16.8,19.1,No,No
Sale,0,14.2,0,0.8,7.1,NW,17,NW,NNW,9,7,88,67,1020.1,1017.6,3,5,3.6,13.2,No,No
MountGambier,9.3,20.4,0.2,6.4,9.2,SSE,48,SE,SSE,11,28,71,48,1027,1024.6,7,4,14.9,18.9,No,No
Cairns,17.9,26.5,0.6,7.6,5.7,SE,41,SSE,ESE,17,22,83,57,1020,1017.2,6,7,20.6,24.1,No,No
