Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
AliceSprings,22.9,42.2,0,15,11.2,SE,56,N,SSW,28,13,8,6,1011.9,1008.1,0,5,36.5,39.8,No,No
Darwin,21.9,31.9,0,7.8,10,SE,44,SE,E,28,30,26,27,1015.5,1011.9,5,3,23,31.1,No,No
Watsonia,9.2,15.9,0,3.2,3.1,SSW,37,W,SSW,11,15,72,65,1022.3,1021.9,7,7,13,14.6,No,No
Brisbane,20.1,32,0,8.8,12,E,24,ESE,ENE,7,11,57,46,1017.9,1014.5,2,1,26,29.6,No,No
MelbourneAirport,6.9,31.3,0,4.8,11.6,N,52,W,WNW,2,26,82,17,1010.6,1005,1,1,13.7,31,No,Yes
MelbourneAirport,2.6,15.9,0,2.6,7.6,N,44,NW,N,7,31,82,57,1026.5,1021.8,1,7,8.2,14.3,No,No
Sale,7.5,15.5,10.2,2.2,8.2,WNW,94,NW,WNW,52,65,46,44,993.9,993.3,3,6,11.6,13.2,Yes,Yes
CoffsHarbour,22,32.5,0,5.2,11.5,NE,35,SE,NE,7,22,63,68,1008.5,1005.8,1,1,28.6,31.2,No,Yes
Nuriootpa,12.5,18,1.2,3.8,7.1,W,43,W,SW,22,22,68,45,1015.9,1016.3,7,4,14.8,17,Yes,No
Hobart,15,21.8,0,6,8.1,SSW,52,NE,SE,7,19,81,53,1016.5,1018.5,7,5,17.6,18.9,No,No
WaggaWagga,3.2,26.9,0,4,11.6,NNW,54,E,NW,13,33,57,7,1018.1,1010.9,3,5,12.4,26.4,No,No
Brisbane,24.1,31,0.2,6.7,8.7,WNW,57,NNE,NE,7,15,58,64,1013.6,1009.1,3,6,29.7,29,No,Yes
Watsonia,15.8,24.8,15.6,5.2,4.1,NW,31,SW,NNW,2,17,100,48,1010.3,1008.4,7,7,18.1,23.9,Yes,No
CoffsHarbour,3.5,16.6,0,1.8,0.5,SW,15,W,W,4,9,88,73,1020,1017.9,7,8,9.3,13.7,No,Yes
SydneyAirport,19.9,23.8,2.2,2.6,2,S,50,SSW,S,26,31,81,74,1016.1,1015.7,7,7,21.1,22.2,Yes,No
Perth,12.8,27.5,0,6,11.4,SE,39,SE,SE,15,13,60,37,1018.1,1014.9,2,1,18.4,27.1,No,No
NorfolkIsland,14.6,19,0,6,9.1,SW,54,SW,SSW,30,31,69,58,1021.9,1020.2,3,5,17,17.8,No,No
SydneyAirport,13.8,24.2,0,8.6,10.6,WSW,50,W,SE,26,19,37,30,1014.9,1011.9,1,2,17.1,21.8,No,No
MountGambier,8.3,18.7,12,6,11.7,W,54,WNW,W,24,33,66,46,1015,1017.9,6,4,15.4,18.1,Yes,No
Cairns,23.2,30.5,0,5,8.1,SE,46,SSE,SE,20,26,80,65,1014.6,1012.6,3,3,26.7,29.1,No,No
AliceSprings,17.9,28.8,0,8.4,7.1,E,30,E,SSE,9,9,28,19,1015.9,1011,7,5,20.1,26.8,No,No
WaggaWagga,21.7,26.8,1.4,10,0.8,S,33,W,NW,4,7,79,73,1008.6,1008.4,7,8,24.5,25.1,Yes,Yes
MelbourneAirport,11.1,20.4,0,2.6,5.7,SW,24,SSW,WSW,13,7,75,60,1021,1018.7,8,1,13.2,18.2,No,No
Hobart,11.4,17.4,0,5,10.7,NNW,59,E,NNW,15,24,49,46,1016.7,1017.4,1,4,15.8,17,No,No
Townsville,18,28.7,0,7.2,10.6,ENE,33,N,ENE,2,28,61,54,1016.2,1011.8,3,3,25.6,27.9,No,No
AliceSprings,16.4,30.7,1.4,5.4,11.8,S,31,W,SSW,11,15,65,23,1008.6,1006.1,0,1,22.9,29.9,Yes,No
Darwin,23,33.5,0,7.8,10.1,NNE,41,SE,NNW,9,24,67,46,1015.6,1011.9,4,3,27.6,30.5,No,No
Mildura,4.6,23.4,0,5.6,10.7,W,24,WNW,NW,9,9,58,31,1023.8,1019.7,0,0,14.7,23,No,No
Sale,13.8,15.3,18.8,3.2,0.7,SSW,26,S,S,17,13,87,92,1012.7,1013,8,8,13.9,13.3,Yes,No
AliceSprings,10.1,20.3,0,8,7.9,ESE,39,ESE,ESE,24,19,29,20,1024.3,1020.4,4,5,13.6,20.1,No,No
Woomera,15.4,31.9,0,13.4,12.9,SSE,44,SE,SSW,19,19,59,16,1020,1017.9,0,0,19.2,30.1,No,No
Darwin,24.7,33.1,0.2,6.8,6.6,N,30,E,NE,13,11,82,62,1009.9,1006.5,7,7,27.6,31.7,No,Yes
Mildura,11.9,32.8,0,9,13.1,ESE,33,E,ENE,13,13,39,10,1019.8,1015.9,0,1,19.9,31.5,No,No
Townsville,23.2,28.7,9.2,6.2,3.6,NE,33,ESE,ENE,9,20,73,70,1008.7,1005.6,7,7,26.5,28.2,Yes,Yes
Woomera,21.5,29.3,0,15.6,6.3,SW,48,S,SW,22,26,52,41,1009.9,1009.2,3,2,24.2,28.4,No,No
Mildura,19.1,30.7,0,2.8,8.7,SE,20,ESE,S,9,11,100,58,1012.8,1011.9,8,5,20.4,28.6,No,No
Mildura,20,43.7,0,8.8,12.8,N,39,NNE,NNW,17,20,24,8,1010.7,1007.9,0,2,29,42.4,No,No
AliceSprings,12.6,20.3,0,7.6,1.1,SSW,41,SW,SSW,4,13,42,61,1022.3,1020.3,7,7,15.8,17.7,No,No
SydneyAirport,21.1,29.1,0,8.2,12.9,ENE,35,WSW,ENE,7,26,62,56,1008.7,1005.5,3,2,25.2,27.9,No,No
Cobar,20.3,36,18,8.2,10.5,WSW,94,NNE,NW,13,7,89,50,1008.6,1006.7,7,4,24.7,33.4,Yes,Yes
PerthAirport,7.7,15.3,4.8,0.6,9.5,SSW,46,S,S,19,19,79,38,1026.6,1024.7,1,3,10.2,15.1,Yes,No
MelbourneAirport,4.7,16.5,0,3,7.7,S,31,N,S,13,17,83,56,1020.4,1018.8,7,6,10.2,15.3,No,No
Perth,16,33.5,0,8.6,11.9,SW,39,ESE,SW,9,15,51,43,1019.1,1017.1,5,5,25.2,29.8,No,No
AliceSprings,4,25.9,0,6,11.3,SE,28,ENE,ESE,11,13,22,14,1022.7,1018.1,0,0,15.3,25,No,No
Darwin,24.7,31.6,0.4,3.2,5.7,ENE,33,ENE,W,9,7,83,71,1011.8,1009.4,7,7,28.3,29.8,No,Yes
Townsville,10.1,22,0,7.4,11,E,35,SSE,NE,7,22,44,42,1021.7,1018.3,2,1,17.8,20.7,No,No
Cairns,19,27.3,6.4,6,8.1,SE,70,SE,SE,43,37,55,43,1021.1,1019.1,2,3,24.3,26,Yes,Yes
Woomera,26.5,40,0.6,14.2,8.5,NNE,52,N,ENE,19,20,31,27,1011,1008.1,2,2,32.7,37.4,No,No
MountGambier,9,14.7,1,0.6,1.7,NNW,37,NNW,NNW,19,20,92,96,1025,1024.5,3,7,13.1,13.3,No,Yes
MountGambier,9.3,20.4,0.2,6.4,9.2,SSE,48,SE,SSE,11,28,71,48,1027,1024.6,7,4,14.9,18.9,No,No
Cairns,17.9,26.5,0.6,7.6,5.7,SE,41,SSE,ESE,17,22,83,57,1020,1017.2,6,7,20.6,24.1,No,No
NorfolkIsland,17.2,21.4,11,1.2,5.2,SSE,41,WNW,S,11,20,89,83,1011.7,1010.7,7,5,19.9,19.2,Yes,Yes
Watsonia,11.8,16.3,8,7.4,3.7,WNW,50,SSW,SSW,19,20,99,62,1017.8,1019.8,8,7,11.8,14.9,Yes,Yes
MountGambier,11.7,23.9,0,6.4,12.7,SE,56,SE,SE,37,33,47,29,1023.7,1022,1,1,17.3,22.5,No,No
Townsville,22.3,31,0,9.4,11.6,ENE,39,ESE,ENE,11,28,67,58,1011.9,1009.5,1,2,28,30.1,No,No
Hobart,3.4,15.2,0,1,8.4,NNW,24,NNW,NNW,13,13,75,44,1024.2,1020.8,1,1,8.2,14.3,No,No
Darwin,21.1,32.5,0,6.8,10.5,E,43,ENE,E,22,13,42,20,1015.3,1011.6,5,7,24.3,31.9,No,No
MountGambier,7.1,13.4,0.2,2.4,5.7,SSW,48,SSE,S,13,30,69,64,1031.1,1030.1,8,7,10.1,12.1,No,No
Darwin,27.1,31,0,4.6,1.2,WNW,54,W,S,35,30,73,88,1005,1003.3,7,7,29.7,25.8,No,Yes
Perth,19.5,23.8,4.6,5,5.6,SW,44,NNW,SW,7,20,93,51,1007.2,1009.5,7,5,21.1,22.6,Yes,No
Sydney,10.2,19.8,0.6,4.8,10.4,SSW,59,W,S,22,28,53,42,1018.3,1017.7,7,2,13.1,17.5,No,No
WaggaWagga,5.6,13.9,16.6,1.6,5.1,WSW,54,W,SW,17,37,96,58,1006.4,1008.5,8,2,7.7,13.5,Yes,No
CoffsHarbour,21.8,29.1,0.6,5.6,11.6,NNE,63,N,NNE,28,44,65,70,1015.8,1012.5,3,1,25.8,26,No,No
Hobart,16.7,17.4,0,4,2.6,S,59,SSE,S,11,24,61,51,1017.6,1020.3,7,7,17.2,14.9,No,No
Sydney,9.7,19.1,0,3.2,9.5,W,41,W,S,24,15,59,50,1014.4,1011.6,2,4,11.8,16.6,No,No
MountGambier,5.5,15.9,0.2,1.2,3,N,35,NE,NNE,15,17,87,59,1023.4,1018.8,7,8,9.8,13.4,No,Yes
Nuriootpa,10.4,18.6,0.2,3.5,10.1,SE,39,SE,SSE,24,24,67,39,1022.8,1021,1,1,14.6,18.2,No,No
MelbourneAirport,7.2,21.3,0,7.2,12.1,SSE,41,SSW,SSE,19,22,52,42,1020,1018.6,7,2,14.9,19.6,No,No
Sydney,11.1,28.3,0,5.2,10.6,NNW,57,NNW,NNW,15,31,28,13,1016,1007.3,1,0,20.8,27.5,No,No
Melbourne,6.3,16.9,0,2,4.2,SE,24,NNE,S,6,9,100,74,1021.6,1019,7,2,7.9,15.4,No,No
Sydney,19.1,26.8,0,8,8.4,NNE,44,ENE,NE,11,26,64,63,1014.2,1011.2,2,4,23.8,24.6,No,Yes
SydneyAirport,10.1,22.9,0,3,3.5,SSW,43,N,NW,7,15,39,25,1022.4,1017.5,6,1,13.7,21.9,No,No
Darwin,25.2,33.5,0.6,4.4,8.2,WSW,33,ESE,WSW,11,20,79,52,1011.7,1007.8,7,6,28,32.7,No,Yes
Canberra,19.9,22,11,4.4,5.9,NNW,76,N,WNW,41,30,92,62,996.5,996.8,8,3,20.6,19.6,Yes,Yes
Nuriootpa,7.5,17,0,1.6,6.6,WNW,72,NNW,WNW,15,41,73,56,1006.4,1002.2,4,6,12.4,14.3,No,Yes
Darwin,23.8,30.9,0,8.4,1.5,E,39,SE,S,17,19,55,47,1012.4,1009.4,7,7,24.3,29.5,No,No
AliceSprings,17.7,36.9,0,14.4,12.1,E,46,NNE,E,26,24,14,7,1017.9,1014.4,0,1,31.8,35.8,No,No
Watsonia,3.1,13.6,0,0.6,6.6,S,31,E,SW,7,15,99,77,1017.3,1017,7,5,4.9,10.6,No,No
Brisbane,19.9,30,0,7.8,11.5,ENE,28,ENE,ENE,4,13,56,47,1013.5,1010.3,4,1,26.9,28.8,No,No
WaggaWagga,12.3,24.1,0,6.4,6.5,WSW,37,W,SW,9,22,57,33,1017,1014.5,5,7,15.6,22.6,No,No
Darwin,18.4,30.7,0,5.8,10.7,N,35,ESE,N,15,20,51,42,1012.6,1008.8,1,3,21,29.7,No,No
Perth,14,15.7,14.8,0.6,0,SSW,48,NE,S,9,19,96,93,1011,1009.6,8,8,14.2,13.2,Yes,Yes
