Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
WaggaWagga,13.8,30.6,0.0,4.4,10.8,E,31,ENE,N,7,7,73,27,1025.7,1022.0,3,1,18.9,29.6,No,No
Townsville,23.9,31.6,0.0,9.4,9.1,N,41,N,N,19,26,61,56,1010.4,1006.2,7,3,29.2,29.8,No,No
Nuriootpa,9.6,17.0,0.8,1.2,4.7,NW,54,NW,WNW,22,35,74,52,1015.8,1013.0,7,7,12.2,15.9,No,No
Darwin,21.9,31.9,0.0,7.8,10.0,SE,44,SE,E,28,30,26,27,1015.5,1011.9,5,3,23.0,31.1,No,No
Sale,7.5,15.5,10.2,2.2,8.2,WNW,94,NW,WNW,52,65,46,44,993.9,993.3,3,6,11.6,13.2,Yes,Yes
Townsville,23.1,29.1,78.4,3.2,0.0,NNE,81,E,NE,35,39,84,93,1004.1,999.8,8,8,26.6,26.5,Yes,Yes
Canberra,13.4,26.1,9.2,7.6,5.0,WNW,70,SE,N,2,17,78,49,1004.9,1000.8,7,8,18.9,25.6,Yes,Yes
Hobart,15.0,21.8,0.0,6.0,8.1,SSW,52,NE,SE,7,19,81,53,1016.5,1018.5,7,5,17.6,18.9,No,No
Brisbane,24.1,31.0,0.2,6.7,8.7,WNW,57,NNE,NE,7,15,58,64,1013.6,1009.1,3,6,29.7,29.0,No,Yes
Watsonia,11.1,20.6,0.0,3.2,7.5,SE,20,S,SSE,2,7,100,52,1028.2,1025.7,3,7,13.1,19.6,No,No
Moree,17.0,32.8,0.0,7.8,11.1,NE,33,E,ENE,4,15,57,28,1019.0,1015.7,2,8,23.4,31.8,No,No
Brisbane,12.0,21.1,0.0,2.4,4.9,SSW,22,WSW,SSE,9,9,70,60,1022.3,1020.2,2,7,16.2,19.4,No,No
Perth,12.8,27.5,0.0,6.0,11.4,SE,39,SE,SE,15,13,60,37,1018.1,1014.9,2,1,18.4,27.1,No,No
Mildura,7.2,20.9,0.0,4.0,3.5,NNE,54,NNE,N,24,31,62,33,1020.0,1014.8,5,7,11.3,20.3,No,Yes
WaggaWagga,5.1,15.3,0.0,1.2,8.6,W,24,W,WSW,9,13,73,46,1023.8,1021.8,3,3,11.4,14.5,No,No
Cairns,19.8,28.8,0.0,4.4,7.4,SE,41,S,SE,17,31,65,61,1017.2,1015.4,2,5,24.4,25.6,No,No
MountGambier,8.1,15.9,0.8,1.2,3.1,SW,35,WNW,SSW,9,22,92,88,1033.3,1031.7,3,7,12.5,14.7,No,Yes
Sydney,18.1,26.0,0.0,4.8,10.9,E,26,WNW,E,11,20,91,67,1017.9,1014.6,2,1,18.9,24.7,No,No
SydneyAirport,13.8,24.2,0.0,8.6,10.6,WSW,50,W,SE,26,19,37,30,1014.9,1011.9,1,2,17.1,21.8,No,No
MountGambier,8.3,18.7,12.0,6.0,11.7,W,54,WNW,W,24,33,66,46,1015.0,1017.9,6,4,15.4,18.1,Yes,No
Woomera,9.0,17.1,1.6,6.6,5.7,WSW,57,W,SSW,41,37,79,47,1016.0,1018.7,7,5,10.2,16.2,Yes,No
Cairns,23.2,30.5,0.0,5.0,8.1,SE,46,SSE,SE,20,26,80,65,1014.6,1012.6,3,3,26.7,29.1,No,No
AliceSprings,17.9,28.8,0.0,8.4,7.1,E,30,E,SSE,9,9,28,19,1015.9,1011.0,7,5,20.1,26.8,No,No
Hobart,11.4,17.4,0.0,5.0,10.7,NNW,59,E,NNW,15,24,49,46,1016.7,1017.4,1,4,15.8,17.0,No,No
